#
# National Water Information System
# 2025/01/10
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
huc_cd	huc_class_cd	huc_nm
12s	15s	64s
010200040110	Other	Kingsbury Stream
010200040111	Other	Blackstone Brook-Piscataquis River
0102000402	Other	Middle Piscataquis River
010200040201	Other	Manhanock Pond
010200040202	Other	Black Stream
010200040203	Other	Salmon Stream-Piscataquis River
010200040204	Other	Alder Stream
010200040205	Other	Meadow Brook-Piscataquis River
0102000403	Other	Sebec River
010200040301	Other	Lower Wilson Pond
010200040302	Other	Upper Big Wilson Stream
010200040303	Other	Little Wilson Stream
010200040304	Other	Monson Stream
010200040305	Other	Davis Brook
010200040306	Other	Lower Big Wilson Stream
010200040307	Other	Lake Onawa
010200040308	Other	First Buttermilk Pond
010200040309	Other	Ship Pond Stream
010200040310	Other	Bear Brook
010200040311	Other	Sebec Lake
010200040312	Other	Sebec River
0102000404	Other	Pleasant River
010200040401	Other	Upper West Branch Pleasant River
010200040402	Other	Middle West Branch Pleasant River
010200040403	Other	Silver Lake
010200040404	Other	Houston Brook
010200040405	Other	Lower West Branch Pleasant River
010200040406	Other	B Pond
010200040407	Other	Upper East Branch Pleasant River
010200040408	Other	Middle Branch Pleasant River
010200040409	Other	Lower East Branch Pleasant River
010200040410	Other	Pleasant River
0102000405	Other	Seboeis Stream
010200040501	Other	Seboeis Lake
010200040502	Other	East Branch Seboeis Stream
010200040503	Other	West Branch Seboeis Stream
010200040504	Other	Seboeis Stream
0102000406	Other	Lower Piscataquis River
010200040601	Other	Alder Brook-Piscataquis River
010200040602	Other	Schoodic Lake-Schoodic Stream
010200040603	Other	Scutaze Stream
010200040604	Other	Hardy Brook-Piscataquis River
01020005	Other	Penobscot River
0102000501	Other	Salmon Stream-Penobscot River
010200050101	Other	Salmon Stream Lake
010200050102	Other	Salmon Stream
010200050103	Other	Mattaseunk Stream
010200050104	Other	Pattagumpus Stream-Penobscot River
0102000502	Other	Mattamiscontis Stream-Penobscot River
010200050201	Other	Sebonibus Rapids-Penobscot River
010200050202	Other	Stump Pond-Cambolasse Stream
010200050203	Other	Ebhorse Stream
010200050204	Other	Medunkeunk Stream
010200050205	Other	Mattanawcook Pond
010200050206	Other	Upper Mattamiscontis Stream
010200050207	Other	Lower Mattamiscontis Stream
010200050208	Other	Pollack Brook-Penobscot River
0102000503	Other	Passadumkeag River
010200050301	Other	Number Three Pond-West Branch Passadumkeag River
010200050302	Other	Taylor Brook
010200050303	Other	Upper Passadumkeag River
010200050304	Other	Lower Pistol Lake-Pistol Stream
010200050305	Other	Nicatous Lake
010200050306	Other	Madagascal Pond-Madagascal Stream
010200050307	Other	Middle Passadumkeag River
010200050308	Other	Eskutassis Pond-Eskutassis Stream
010200050309	Other	Lower Lord Brook
010200050310	Other	Cold Stream Pond-Cold Stream
010200050311	Other	Lower Passadumkeag River
0102000504	Other	Sunkhaze Stream-Penobscot River
010200050401	Other	Pollard Brook-Penobscot River
010200050402	Other	Olamon Stream
010200050403	Other	Hoyt Brook
010200050404	Other	Hemlock Stream
010200050405	Other	Upper Sunkhaze Stream
010200050406	Other	Birch Stream
010200050407	Other	Lower Sunkhaze Stream
010200050408	Other	Stevens Brook-Penobscot River
0102000505	Other	Stillwater River
010200050501	Other	Upper Birch Stream
010200050502	Other	Lower Birch Stream
010200050503	Other	West Branch Dead Stream
010200050504	Other	Upper Dead Stream
010200050505	Other	Little Pushaw Pond-Bear Brook
010200050506	Other	Upper Pushaw Stream
010200050507	Other	Pushaw Lake
010200050508	Other	Lower Dead Stream
010200050509	Other	Lower Pushaw Stream
010200050510	Other	Stillwater River
0102000506	Other	Great Works Stream-Penobscot River
010200050601	Other	Great Works Stream
010200050602	Other	Chemo Pond-Blackman Stream
010200050603	Other	Marsh Island-Penobscot River
0102000507	Other	Kenduskeag Stream
010200050701	Other	French Stream
010200050702	Other	Crooked Brook
010200050703	Other	Upper Kenduskeag Stream
010200050704	Other	Upper Black Stream
010200050705	Other	Lower Black Stream
010200050706	Other	Middle Kenduskeag Stream
010200050707	Other	Lower Kenduskeag Stream
0102000508	Other	Souadabscook Stream
010200050801	Other	Upper Souadabscook Stream
010200050802	Other	Tracy Brook
010200050803	Other	West Branch Souadabscook Stream
010200050804	Other	Middle Souadabscook Stream
010200050805	Other	Lower Souadabscook Stream
0102000509	Other	Marsh Stream
010200050901	Other	Upper Marsh Stream
010200050902	Other	North Branch Marsh Stream
010200050903	Other	Middle Marsh Stream
010200050904	Other	Lower Marsh Stream
010200050905	Other	Halfmoon Pond-Colson Stream
010200050906	Other	South Branch Marsh River
0102000510	Other	Penobscot River-Penobscot Bay
010200051001	Other	Eaton Brook
010200051002	Other	Sedgeunkedunk Stream
010200051003	Other	Felts Brook-Penobscot River
010200051004	Other	Long Pond
010200051005	Other	Toddy Pond
010200051006	Other	Alamoosook Lake
010200051007	Other	Cove Brook-Penobscot River
010200051008	Other	Orland River
010200051009	Other	Penobscot River-Frontal Penobscot Bay
0103	Subregion	Kennebec
010300	Other	Kennebec
01030001	Other	Upper Kennebec River
0103000101	Other	South Branch Moose River
010300010101	Other	Number One Brook
010300010102	Other	South Branch Moose River
0103000102	Other	Holeb Pond-Moose River
010300010201	Other	Bog Brook
010300010202	Other	Gulf Stream
010300010203	Other	Holeb Pond
010300010204	Other	Little Gulf Stream-Moose River
010300010205	Other	Barret Brook
010300010206	Other	Number Five Bog-Moose River
0103000103	Other	Long Pond-Moose River
010300010301	Other	Attean Pond
010300010302	Other	West Branch Sandy Stream
010300010303	Other	Wood Pond
010300010304	Other	Heald Stream
010300010305	Other	Upper Churchill Stream
010300010306	Other	Churchill Stream
010300010307	Other	Parlin Pond
010300010308	Other	Parlin Stream
010300010309	Other	Long Pond
010300010310	Other	Stony Brook-Moose River
0103000104	Other	Brassua Lake-Moose River
010300010401	Other	South Branch Brassua Stream
010300010402	Other	North Branch Brassua Stream
010300010403	Other	Misery Stream
010300010404	Other	Brassua Lake-Moose River
0103000105	Other	Moosehead Lake
010300010501	Other	Carry Brook
010300010502	Other	Socatean Stream
010300010503	Other	Tomhegan Stream
010300010504	Other	Spencer Pond
010300010505	Other	Second Roach Pond
010300010506	Other	First Roach Pond
010300010507	Other	Roach River
010300010508	Other	Lily Bay Brook
010300010509	Other	South Brook
010300010510	Other	Moosehead Lake
0103000106	Other	Moxie Stream-Kennebec River
010300010601	Other	Churchill Stream-Round Pond
010300010602	Other	Indian Stream
010300010603	Other	Indian Pond
010300010604	Other	Chase Stream
010300010605	Other	Baker Stream
010300010606	Other	Big Sandy Stream
010300010607	Other	Moxie Stream
010300010608	Other	Black Brook
010300010609	Other	Cold Stream
010300010610	Other	Dead Stream-Kennebec River
01030002	Other	Dead River
0103000201	Other	North Branch Dead River
010300020101	Other	Horseshoe Stream
010300020102	Other	Chain of Ponds
010300020103	Other	Gold Brook-North Branch Dead River
010300020104	Other	Alder Stream
010300020105	Other	Jim Pond Brook
010300020106	Other	North Branch Dead River
0103000202	Other	South Branch Dead River
010300020201	Other	Redington Stream
010300020202	Other	Saddleback Lake-South Branch Dead River
010300020203	Other	Nash Stream
010300020204	Other	South Branch Dead River
0103000203	Other	Flagstaff Lake
010300020301	Other	Stratton Brook
010300020302	Other	Upper Flagstaff Lake
010300020303	Other	Middle Flagstaff Lake
010300020304	Other	Lower Flagstaff Lake
0103000204	Other	Spencer Stream
010300020401	Other	Baker Stream
010300020402	Other	West Branch Spencer Stream-Spencer Stream
010300020403	Other	Kibby Stream
010300020404	Other	Fish Pond
010300020405	Other	Little Spencer Stream
010300020406	Other	Spencer Stream
0103000205	Other	Enchanted Stream-Dead River
010300020501	Other	Black Brook
010300020502	Other	Upper Dead River
010300020503	Other	Stony Brook
010300020504	Other	Enchanted Stream
010300020505	Other	Salmon Stream
010300020506	Other	Lower Dead River
01030003	Other	Lower Kennebec River
0103000301	Other	Wyman Lake
010300030101	Other	Kelly Brook-Kennebec River
010300030102	Other	Pierce Pond Stream
010300030103	Other	Pleasant Pond Stream
010300030104	Other	Carrying Place Stream
010300030105	Other	Houston Brook
010300030106	Other	Wyman Lake-Kennebec River
0103000302	Other	Austin Stream
010300030201	Other	Austin Pond-Austin Stream
010300030202	Other	South Branch Austin Stream
010300030203	Other	Austin Stream
0103000303	Other	Fall Brook-Kennebec River
010300030301	Other	Jackson Brook-Kennebec River
